monroecounty.arkansas.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
dallas county;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
randolph county;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
calhouncounty.arkansas.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
maricopa.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
webcms.pima.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
coconino.az.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
pinalcountyaz.gov;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
yavapai.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
cochise.az.gov;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
mohavecounty.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
gilacountyaz.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
yumacountyaz.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
co.greenlee.az.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
co.la-paz.az.us;No TLS;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .us;
graham.az.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
apachecountyaz.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
navajocountyaz.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
santacruzcountyaz.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
az.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
lacounty.gov;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
contracosta.ca.gov;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
stancounty.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
sccgov.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
solanocounty.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
sjgov.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
marincounty.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
