number,State,population,population category,State2,score final,Website,TLS Level,Certificate Expiry,Certificate Signed,Country Code,Domain,cert_type,Country Code2,SWEET 32,Certificate Issuer,HTTP Check,HEARTBLEED,HSTS_CHECK,PORT 80,POODLE,DROWN,FREAK,County_site,Number of Open Ports,protocol1,protocol2,protocol3,protocol4,protocol5,protocol6,protocol7
405,GA,126176,"75,001 to 149,999",GA,12,accgov.com,TLS 1.2, not expired, not self-signed, US, .com, EV, US, NOT VULNERABLE, DigiCert TLS RSA SHA256 2020 CA1,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,accgov.com,1,ftp,,,,,,
406,GA,117183,"75,001 to 149,999",GA,10,carrollcountyga.com,TLS 1.2, not expired, not self-signed, US, .com, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,carrollcountyga.com,0,,,,,,,
407,GA,108079,"75,001 to 149,999",GA,11,co.newton.ga.us,TLS 1.2, not expired, not self-signed, US, .us, EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.newton.ga.us,0,,,,,,,
408,GA,104237,"75,001 to 149,999",GA,11,whitfieldcountyga.com,TLS 1.2, not expired, not self-signed, US, .com, EV, US, NOT VULNERABLE, DigiCert TLS RSA SHA256 2020 CA1,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,whitfieldcountyga.com,1,,,,,,,
409,GA,97369,"75,001 to 149,999",GA,13,romefloyd.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,romefloyd.com,1,ssh,,,,,,
410,GA,91442,"75,001 to 149,999",GA,13,waltoncountyga.gov,TLS 1.2, not expired, not self-signed, US, .gov, EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,waltoncountyga.gov,0,,,,,,,
411,GA,89703,"75,001 to 149,999",GA,10,dougherty.ga.us,unknown, not expired, not self-signed, Unknown, .us, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,dougherty.ga.us,0,,,,,,,
412,GA,78991,"75,001 to 149,999",GA,14,barrowga.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP/1.1 302 Found,NOT VULNERABLE,Strict Transport Security Found,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,barrowga.org,0,,,,,,,
413,GA,69039,"1 to 75,000",GA,15,walkercountyga.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,walkercountyga.gov,0,,,,,,,
414,GA,65306,"1 to 75,000",GA,14,spaldingcounty.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,Strict Transport Security Found,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,spaldingcounty.com,0,,,,,,,
415,GA,61349,"1 to 75,000",GA,10,libertycountyga.com,TLS 1.2, not expired, not self-signed, US, .com, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,libertycountyga.com,0,,,,,,,
416,GA,57202,"1 to 75,000",GA,13,gordoncounty.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,gordoncounty.org,1,ssh,,,,,,
417,GA,53231,"1 to 75,000",GA,13,camdencountyga.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,camdencountyga.gov,0,,,,,,,
418,GA,47405,"1 to 75,000",GA,10,laurenscoga.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,laurenscoga.org,0,,,,,,,
419,GA,45486,"1 to 75,000",GA,11,ccboc.com,TLS 1.2, not expired, not self-signed, US, .com, non-EV, US,VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,ccboc.com,0,,,,,,,
420,GA,45111,"1 to 75,000",GA,14,baldwincountyga.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,baldwincountyga.com,12,ftp,ssh,dns,,,,
421,GA,44630,"1 to 75,000",GA,8,thomascountyboc.org,unknown, not expired, not self-signed, Unknown, .org, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,thomascountyboc.org,0,,,,,,,
422,GA,43021,"1 to 75,000",GA,12,coffeecountygov.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,coffeecountygov.com,9,ftp,,,,,,
423,GA,41908,"1 to 75,000",GA,12,polkga.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP 4XX,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,polkga.org,1,,,,,,,
424,GA,39724,"1 to 75,000",GA,10,murraycountyga.org,TLS 1.2, not expired, not self-signed, US, .org, EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,murraycountyga.org,0,,,,,,,
425,GA,38132,"1 to 75,000",GA,11,oconeecounty.com,TLS 1.2, not expired, not self-signed, US, .com, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,oconeecounty.com,0,,,,,,,
426,GA,37063,"1 to 75,000",GA,11,bryancountyga.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US,VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,bryancountyga.org,0,,,,,,,
427,GA,35593,"1 to 75,000",GA,7,warecounty.com,No TLS, not expired, not self-signed, Unknown, .com, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,warecounty.com,1,ftp,,,,,,
428,GA,34105,"1 to 75,000",GA,16,harriscountyga.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, R3,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,harriscountyga.gov,12,ftp,ssh,dns,,,,
429,GA,32402,"1 to 75,000",GA,12,lumpkincounty.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,lumpkincounty.gov,0,,,,,,,
430,GA,30414,"1 to 75,000",GA,15,gilmercounty-ga.gov,TLS 1.3, not expired, not self-signed, US, .gov, EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,gilmercounty-ga.gov,7,ftp,dns,,,,,
431,GA,29788,"1 to 75,000",GA,13,waynecountyga.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,waynecountyga.us,1,ssh,,,,,,
432,GA,29502,"1 to 75,000",GA,8,lee.ga.us,No TLS, not expired, not self-signed, Unknown, .us, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,lee.ga.us,1,ftp,,,,,,
433,GA,29489,"1 to 75,000",GA,8,whitecounty.net,unknown, not expired, not self-signed, Unknown, .net, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,whitecounty.net,0,,,,,,,
434,GA,29218,"1 to 75,000",GA,10,madisoncountyga.us,unknown, not expired, not self-signed, Unknown, .us, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,madisoncountyga.us,5,ftp,ssh,telnet,dns,,,
435,GA,28579,"1 to 75,000",GA,13,jonescountyga.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,jonescountyga.org,10,ftp,ssh,dns,,,,
436,GA,27171,"1 to 75,000",GA,12,monroecoga.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,monroecoga.org,11,ftp,ssh,,,,,
437,GA,27145,"1 to 75,000",GA,10,peachcounty.net,TLS 1.2, not expired, not self-signed, US, .net, non-EV, US,VULNERABLE, R3,HTTP 4XX,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,peachcounty.net,3,ftp,telnet,,,,,
438,GA,26682,"1 to 75,000",GA,16,decaturcountyga.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, R3,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,decaturcountyga.gov,11,ftp,ssh,dns,,,,
439,GA,25773,"1 to 75,000",GA,9,hartcountyga.gov,No TLS, not expired, not self-signed, Unknown, .gov, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,hartcountyga.gov,1,ftp,,,,,,
440,GA,25750,"1 to 75,000",GA,10,stephenscountyga.com,TLS 1.2, not expired, not self-signed, US, .com, non-EV, US,VULNERABLE, R3,HTTP 4XX,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,stephenscountyga.com,3,ftp,telnet,,,,,
441,GA,24828,"1 to 75,000",GA,15,gradycountyga.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US,VULNERABLE," cPanel, Inc. Certification Authority",HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,gradycountyga.gov,11,ftp,ssh,dns,,,,
442,GA,24536,"1 to 75,000",GA,13,dawsoncounty.org,TLS 1.3, not expired, not self-signed, US, .org, EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,dawsoncounty.org,0,,,,,,,
443,GA,24090,"1 to 75,000",GA,12,buttscountyga.com,TLS 1.3, not expired, not self-signed, US, .com, EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,buttscountyga.com,10,ftp,ssh,dns,,,,
444,GA,23288,"1 to 75,000",GA,15,unioncountyga.gov,TLS 1.3, not expired, not self-signed, US, .gov, EV, US, NOT VULNERABLE, RapidSSL RSA CA 2018,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,unioncountyga.gov,1,ssh,,,,,,
445,GA,22766,"1 to 75,000",GA,14,franklincountyga.gov,TLS 1.2, not expired, not self-signed, US, .gov, EV, US, NOT VULNERABLE, DigiCert SHA2 High Assurance Server CA,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,franklincountyga.gov,1,ssh,,,,,,
446,GA,22713,"1 to 75,000",GA,12,crispcounty.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,crispcounty.com,6,ftp,,,,,,
447,GA,22533,"1 to 75,000",GA,10,emanuelco-ga.gov,unknown, not expired, not self-signed, Unknown, .gov, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,emanuelco-ga.gov,0,,,,,,,
448,GA,22244,"1 to 75,000",GA,13,mitchellcountyga.net,TLS 1.3, not expired, not self-signed, US, .net, non-EV, US, NOT VULNERABLE, Cloudflare Inc ECC CA-3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,mitchellcountyga.net,2,,,,,,,
449,GA,21691,"1 to 75,000",GA,14,putnamcountyga.us,TLS 1.3, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,putnamcountyga.us,0,,,,,,,
450,GA,21455,"1 to 75,000",GA,13,thomson-mcduffie.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,thomson-mcduffie.com,0,,,,,,,
451,GA,20829,"1 to 75,000",GA,14,dodgecountyga.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,Strict Transport Security Found,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,dodgecountyga.com,10,ftp,ssh,dns,,,,
452,GA,20494,"1 to 75,000",GA,12,worthcountyboc.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,worthcountyboc.com,0,,,,,,,
453,GA,20436,"1 to 75,000",GA,15,washingtoncountyga.gov,TLS 1.2, not expired, not self-signed, US, .gov, EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,washingtoncountyga.gov,9,ftp,ssh,,,,,
454,GA,19250,"1 to 75,000",GA,14,piercecountyga.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,piercecountyga.gov,1,ssh,,,,,,
455,GA,18756,"1 to 75,000",GA,12,brantleycountyga.com,TLS 1.2, not expired, not self-signed, US, .com, EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,brantleycountyga.com,1,ssh,,,,,,
456,GA,18708,"1 to 75,000",GA,10,co.banks.ga.us,TLS 1.2, not expired, not self-signed, US, .us, EV, GB,VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.banks.ga.us,8,ftp,ssh,,,,,
457,GA,18672,"1 to 75,000",GA,11,lamarcountyga.com,TLS 1.2, not expired, not self-signed, US, .com, EV, Unknown, NOT VULNERABLE, not found,HTTP 4XX,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,lamarcountyga.com,0,,,,,,,
458,GA,18507,"1 to 75,000",GA,11,morganga.org,TLS 1.2, not expired, not self-signed, US, .org, EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,morganga.org,0,,,,,,,
459,GA,18440,"1 to 75,000",GA,12,baxley.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,baxley.org,0,,,,,,,
460,GA,18327,"1 to 75,000",GA,11,pikecoga.com,TLS 1.3, not expired, not self-signed, US, .com, EV, GB,VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,pikecoga.com,1,,,,,,,
461,GA,17349,"1 to 75,000",GA,13,greenecountyga.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,greenecountyga.gov,0,,,,,,,
462,GA,22250,"1 to 75,000",GA,15,burkecounty-ga.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,burkecounty-ga.gov,9,ftp,dns,,,,,
463,GA,288496,"250,000 to 499,999",GA,12,chathamcountyga.gov,TLS 1.2, not expired, not self-signed, US, .gov, EV, US,VULNERABLE, Entrust Certification Authority - L1K,Unknown,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,chathamcountyga.gov,0,,,,,,,
464,GA,16197,"1 to 75,000",GA,13,dadecounty-ga.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,dadecounty-ga.gov,0,,,,,,,
465,GA,14931,"1 to 75,000",GA,14,oglethorpecountyga.gov,TLS 1.3, not expired, not self-signed, US, .gov, EV, US,VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,oglethorpecountyga.gov,0,,,,,,,
466,GA,19166,"1 to 75,000",GA,11,elbertga.us,TLS 1.2, not expired, not self-signed, US, .us, EV, GB,VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,elbertga.us,8,ftp,ssh,,,,,
467,GA,0,STATE,GA,14,georgia.gov,TLS 1.2, not expired, not self-signed, US, .gov, EV, US, NOT VULNERABLE, DigiCert SHA2 Secure Server CA,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,georgia.gov,1,ssh,,,,,,
468,GA,17177,"1 to 75,000",GA,11,cookcountyga.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, GB,VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,cookcountyga.us,1,ssh,,,,,,
469,GA,16035,"1 to 75,000",GA,7,telfairco.org,No TLS, not expired, not self-signed, Unknown, .org, non-EV, Unknown, NOT VULNERABLE, not found,HTTP 4XX,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,telfairco.org,0,,,,,,,
470,GA,15618,"1 to 75,000",GA,14,jeffersoncountyga.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, Cloudflare Inc ECC CA-3,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,jeffersoncountyga.gov,2,,,,,,,
471,GA,15590,"1 to 75,000",GA,15,brookscountyga.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,brookscountyga.gov,9,ftp,ssh,,,,,
472,GA,15036,"1 to 75,000",GA,14,hazlehurst-jeffdavis.org,TLS 1.3, not expired, not self-signed, US, .org, EV, US, NOT VULNERABLE, R3,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,hazlehurst-jeffdavis.org,13,ftp,ssh,dns,,,,
473,GA,14174,"1 to 75,000",GA,13,mcintoshcountyga.com,TLS 1.2, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, Starfield Secure Certificate Authority - G2,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,mcintoshcountyga.com,10,ftp,ssh,,,,,
474,GA,13916,"1 to 75,000",GA,8,aspercountyga.org,unknown, not expired, not self-signed, Unknown, .org, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,aspercountyga.org,0,,,,,,,
475,GA,13305,"1 to 75,000",GA,12,maconcountyga.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US,VULNERABLE, R3,HTTP 4XX,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,maconcountyga.gov,3,ftp,telnet,,,,,
476,GA,13040,"1 to 75,000",GA,12,charltoncountyga.us,TLS 1.2, not expired, not self-signed, US, .us, EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,charltoncountyga.us,0,,,,,,,
477,GA,12325,"1 to 75,000",GA,12,crawfordcountyga.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP 4XX,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,crawfordcountyga.org,10,ftp,ssh,dns,,,,
478,GA,11736,"1 to 75,000",GA,12,heardcountyga.com,TLS 1.3, not expired, not self-signed, US, .com, EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,heardcountyga.com,2,ftp,,,,,,
479,GA,10687,"1 to 75,000",GA,12,evanscounty.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, GB,VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,evanscounty.org,11,ftp,ssh,dns,,,,
480,GA,10380,"1 to 75,000",GA,13,laniercountyboc.com,TLS 1.3, expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, Let's Encrypt Authority X3,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,laniercountyboc.com,11,ftp,ssh,dns,,,,
481,GA,10312,"1 to 75,000",GA,12,earlycountyga.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US,VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,earlycountyga.org,1,,,,,,,
482,GA,9844,"1 to 75,000",GA,13,wilkescountyga.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,wilkescountyga.org,0,,,,,,,
483,GA,9691,"1 to 75,000",GA,12,johnsonco.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,johnsonco.org,10,ftp,ssh,dns,,,,
